English Word,Node Collections
jet,Objective Focus -> Material Object
kettle,Objective Focus -> Material Object
key,Objective Focus -> Material Object
keyboard_(musical),Objective Focus -> Material Object
kite,Objective Focus -> Material Object
knife,Objective Focus -> Material Object
ladle,Identity -> Species
lamb,Identity -> Species
lamp,Objective Focus -> Material Object
lantern,Objective Focus -> Material Object
lemon,Identity -> Species
leopard,Identity -> Species
leotards,Objective Focus -> Material Object
lettuce,Identity -> Species
level,Objective Focus -> Material Object
lime,Identity -> Species
limousine,Objective Focus -> Material Object
lion,Identity -> Species
lobster,Identity -> Species
machete,Objective Focus -> Material Object
mackerel,Identity -> Species
magazine,Objective Focus -> Material Object
mandarin,Identity -> Species
marble,Objective Focus -> Material Object
mat,Objective Focus -> Material Object
medal,Objective Focus -> Material Object
menu,Objective Focus -> Material Object
microscope,Objective Focus -> Material Object
microwave,Objective Focus -> Material Object
mink,Identity -> Species
mink_(coat),Objective Focus -> Material Object
minnow,Identity -> Species
mirror,Objective Focus -> Material Object
missile,Objective Focus -> F Harmful
mittens,Objective Focus -> Material Object
mixer,Objective Focus -> Material Object
mole_(animal),Identity -> Species
moose,Identity -> Species
moth,Identity -> Species
motorcycle,Objective Focus -> Material Object
mouse,Identity -> Species
mouse_(computer),Objective Focus -> Material Object
mug,Objective Focus -> Material Object
mushroom,Identity -> Species
muzzle,Objective Focus -> Material Object
napkin,Objective Focus -> Material Object
necklace,Objective Focus -> Material Object
nectarine,Objective Focus -> Material Object
nightgown,Objective Focus -> Material Object
nightingale,Identity -> Species
nylons,Objective Focus -> Material Object
oak,Objective Focus -> Material Object
octopus,Identity -> Species
olive,Objective Focus -> Material Object
onions,Objective Focus -> Material Object
orange,Objective Focus -> Material Object
oriole,Identity -> Species
ostrich,Identity -> Species
otter,Identity -> Species
oven,Objective Focus -> Material Object
owl,Identity -> Species
ox,Identity -> Species
paintbrush,Objective Focus -> Material Object
pajamas,Objective Focus -> Material Object
pan,Objective Focus -> Material Object
panther,Identity -> Species
pants,Objective Focus -> Material Object
parakeet,Identity -> Species
parka,Objective Focus -> Material Object
parsley,Objective Focus -> Material Object
partridge,Objective Focus -> Material Object
peach,Objective Focus -> Material Object
peacock,Identity -> Species
pear,Objective Focus -> Material Object
pearl,Objective Focus -> Material Object
peas,Objective Focus -> Material Object
peg,Objective Focus -> Material Object
pelican,Identity -> Species
pen,Objective Focus -> Material Object
pencil,Objective Focus -> Material Object
penguin,Identity -> Species
pepper,Objective Focus -> Material Object
perch,Objective Focus -> Material Object
pheasant,Objective Focus -> Material Object
piano,Objective Focus -> Material Object
pickle,Objective Focus -> Material Object
pie,Objective Focus -> Material Object
pier,Objective Focus -> Material Object
pig,Identity -> Species
pigeon,Objective Focus -> Material Object
pillow,Objective Focus -> Material Object
pin,Objective Focus -> Material Object
pine,Objective Focus -> Material Object
pineapple,Objective Focus -> Material Object
pipe_(plumbing),Objective Focus -> Material Object
pipe_(smoking),Objective Focus -> Material Object
pistol,Objective Focus -> F_Safety
plate,Objective Focus -> Material Object
platypus,Identity -> Species
pliers,Objective Focus -> Material Object
plug_(electric),Objective Focus -> Material Object
plum,Objective Focus -> Material Object
pony,Objective Focus -> Material Object
porcupine,Identity -> Species
pot,Objective Focus -> Material Object
potato,Objective Focus -> Material Object
projector,Objective Focus -> Material Object
prune,Objective Focus -> Material Object
pumpkin,Objective Focus -> Material Object
pyramid,Objective Focus -> Material Object
python,Identity -> Species
rabbit,Identity -> Species
raccoon,Identity -> Species
racquet,Objective Focus -> Material Object
radio,Objective Focus -> Material Object
radish,Objective Focus -> Material Object
raft,Objective Focus -> Material Object
raisin,Objective Focus -> Material Object
rake,Objective Focus -> Material Object
raspberry,Objective Focus -> Material Object
rat,Identity -> Species
rattle,Objective Focus -> Material Object
rattlesnake,Identity -> Species
raven,Identity -> Species
razor,Objective Focus -> Material Object
revolver,Objective Focus -> F Harmful
rhubarb,Objective Focus -> Material Object
rice,Objective Focus -> Material Object
rifle,Objective Focus -> F Harmful
ring_(jewelry),Objective Focus -> Material Object
robe,Objective Focus -> Material Object
robin,Identity -> Species
rock,Objective Focus -> Material Object
rocker,Objective Focus -> Material Object
rocket,Objective Focus -> Material Object
rooster,Identity -> Species
rope,Objective Focus -> Material Object
ruler,Objective Focus -> Material Object
sack,Objective Focus -> Material Object
saddle,Objective Focus -> Material Object
sailboat,Objective Focus -> Material Object
salamander,Identity -> Species
salmon,Identity -> Species
sandals,Objective Focus -> Material Object
sandpaper,Objective Focus -> Material Object
sardine,Identity -> Species
saucer,Objective Focus -> Material Object
saxophone,Objective Focus -> Material Object
scarf,Objective Focus -> Material Object
scissors,Objective Focus -> Material Object
scooter,Objective Focus -> Material Object
screwdriver,Objective Focus -> Material Object
screws,Objective Focus -> Material Object
seagull,Identity -> Species
seal,Objective Focus -> Material Object
seaweed,Objective Focus -> Material Object
shack,Objective Focus -> Material Object
shawl,Objective Focus -> Material Object
shed,Identity -> Species
sheep,Identity -> Species
shell,Objective Focus -> Material Object
shelves,Objective Focus -> Material Object
shield,Objective Focus -> Material Object
ship,Objective Focus -> Material Object
shirt,Objective Focus -> Material Object
shoes,Objective Focus -> Material Object
shotgun,Objective Focus -> Material Object
shovel,Objective Focus -> Material Object
shrimp,Identity -> Species
sink,Objective Focus -> Material Object
skateboard,Objective Focus -> Material Object
skillet,Objective Focus -> Material Object
skirt,Objective Focus -> Material Object
skis,Objective Focus -> Material Object
skunk,Identity -> Species
skyscraper,Objective Focus -> Material Object
sled,Objective Focus -> Material Object
sledgehammer,Objective Focus -> Material Object
sleigh,Objective Focus -> Material Object
slingshot,Objective Focus -> Material Object
slippers,Objective Focus -> Material Object
snail,Identity -> Species
socks,Objective Focus -> Material Object
sofa,Objective Focus -> Material Object
spade,Objective Focus -> Material Object
sparrow,Objective Focus -> Material Object
spatula,Objective Focus -> Material Object
spear,Objective Focus -> Material Object
spider,Identity -> Species
spinach,Objective Focus -> Material Object
spoon,Objective Focus -> Material Object
squid,Identity -> Species
squirrel,Identity -> Species
starling,Identity -> Species
stereo,Objective Focus -> Material Object
stick,Objective Focus -> Material Object
stone,Objective Focus -> Material Object
stool_(furniture),Objective Focus -> Material Object
stork,Objective Focus -> Material Object
stove,Objective Focus -> Material Object
strainer,Objective Focus -> Material Object
strawberry,Objective Focus -> Material Object
submarine,Objective Focus -> Material Object
subway,Objective Focus -> Material Object
surfboard,Objective Focus -> Material Object
swan,Identity -> Species
sweater,Objective Focus -> Material Object
swimsuit,Objective Focus -> Material Object
sword,Objective Focus -> Material Object
table,Objective Focus -> Material Object
tack,Objective Focus -> Material Object
tangerine,Objective Focus -> Material Object
tank_(army),Objective Focus -> Material Object
tank_(container),Objective Focus -> Material Object
tap,Objective Focus -> Material Object
tape_(scotch),Objective Focus -> Material Object
